datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,AE,AECO,886.168,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,AEP,AEPAPT,4567.235,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,AEP,AEPIMP,3313.339,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,AEP,AEPKPT,733.767,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,AEP,AEPOPT,8010.573,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,AP,AP,5659.055,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,BC,BC,3317.804,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,CE,CE,10182.929,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,DAY,DAY,2005.716,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,DEOK,DEOK,2913.832,FALSE
12/1/2025 5:00,12/1/2025 0:00,SERC,SOUTH,DOM,DOM,14447.87,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,DPL,DPLCO,1889.315,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,DUQ,DUQ,1339.045,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,DPL,EASTON,26.697,TRUE
12/1/2025 5:00,12/1/2025 0:00,SERC,WEST,EKPC,EKPC,2031.69,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,JC,JC,2114.695,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,ME,ME,1607.002,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,ATSI,OE,6661.823,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,OVEC,OVEC,40,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,WEST,ATSI,PAPWR,515.376,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PE,PE,3878.484,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PEP,PEPCO,2531.422,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PL,PLCO,4263.623,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PN,PN,1711.274,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PS,PS,4338.747,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,RECO,RECO,129.676,FALSE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PEP,SMECO,415.72,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,PL,UGI,111.436,TRUE
12/1/2025 5:00,12/1/2025 0:00,RFC,MIDATL,AE,VMEU,69.732,TRUE
12/1/2025 5:00,12/1/2025 0:00,RTO,RTO,RTO,RTO,89714.045,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,AE,AECO,868.162,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,AEP,AEPAPT,4583.239,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,AEP,AEPIMP,3277.804,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,AEP,AEPKPT,733.011,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,AEP,AEPOPT,7950.715,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,AP,AP,5592.895,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,BC,BC,3272.932,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,CE,CE,10030.199,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,DAY,DAY,1986.717,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,DEOK,DEOK,2861.191,FALSE
12/1/2025 6:00,12/1/2025 1:00,SERC,SOUTH,DOM,DOM,14326.279,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,DPL,DPLCO,1881.741,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,DUQ,DUQ,1322.452,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,DPL,EASTON,27.278,TRUE
12/1/2025 6:00,12/1/2025 1:00,SERC,WEST,EKPC,EKPC,2102.95,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,JC,JC,2053.867,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,ME,ME,1589.107,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,ATSI,OE,6554.638,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,OVEC,OVEC,37,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,WEST,ATSI,PAPWR,514.906,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PE,PE,3825.725,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PEP,PEPCO,2482.698,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PL,PLCO,4192.54,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PN,PN,1696.331,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PS,PS,4224.79,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,RECO,RECO,125.741,FALSE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PEP,SMECO,414.236,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,PL,UGI,108.934,TRUE
12/1/2025 6:00,12/1/2025 1:00,RFC,MIDATL,AE,VMEU,68.78,TRUE
12/1/2025 6:00,12/1/2025 1:00,RTO,RTO,RTO,RTO,88706.858,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,AE,AECO,859.432,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,AEP,AEPAPT,4640.19,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,AEP,AEPIMP,3221.235,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,AEP,AEPKPT,747.18,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,AEP,AEPOPT,7915.506,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,AP,AP,5593.886,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,BC,BC,3244.802,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,CE,CE,9874.759,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,DAY,DAY,1976.717,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,DEOK,DEOK,2834.101,FALSE
12/1/2025 7:00,12/1/2025 2:00,SERC,SOUTH,DOM,DOM,14398.081,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,DPL,DPLCO,1902.469,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,DUQ,DUQ,1307.661,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,DPL,EASTON,28.102,TRUE
12/1/2025 7:00,12/1/2025 2:00,SERC,WEST,EKPC,EKPC,2109.873,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,JC,JC,2031.495,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,ME,ME,1589.479,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,ATSI,OE,6521.899,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,OVEC,OVEC,36,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,WEST,ATSI,PAPWR,502.883,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PE,PE,3832.408,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PEP,PEPCO,2443.399,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PL,PLCO,4186.526,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PN,PN,1666.12,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PS,PS,4161.569,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,RECO,RECO,124.011,FALSE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PEP,SMECO,420.127,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,PL,UGI,106.941,TRUE
12/1/2025 7:00,12/1/2025 2:00,RFC,MIDATL,AE,VMEU,68.36,TRUE
12/1/2025 7:00,12/1/2025 2:00,RTO,RTO,RTO,RTO,88345.211,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,AE,AECO,856.492,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,AEP,AEPAPT,4709.739,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,AEP,AEPIMP,3294.172,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,AEP,AEPKPT,759.347,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,AEP,AEPOPT,7833.389,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,AP,AP,5631.62,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,BC,BC,3285.11,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,CE,CE,9847.264,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,DAY,DAY,1989.718,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,DEOK,DEOK,2851.304,FALSE
12/1/2025 8:00,12/1/2025 3:00,SERC,SOUTH,DOM,DOM,14676.351,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,DPL,DPLCO,1965.623,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,DUQ,DUQ,1298.723,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,DPL,EASTON,28.938,TRUE
12/1/2025 8:00,12/1/2025 3:00,SERC,WEST,EKPC,EKPC,2183.401,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,JC,JC,2045.367,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,ME,ME,1611.551,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,ATSI,OE,6567.399,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,OVEC,OVEC,37,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,WEST,ATSI,PAPWR,505.771,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PE,PE,3830.08,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PEP,PEPCO,2500.765,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PL,PLCO,4213.485,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PN,PN,1672.401,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PS,PS,4173.741,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,RECO,RECO,124.565,FALSE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PEP,SMECO,432.729,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,PL,UGI,106.664,TRUE
12/1/2025 8:00,12/1/2025 3:00,RFC,MIDATL,AE,VMEU,68.929,TRUE
12/1/2025 8:00,12/1/2025 3:00,RTO,RTO,RTO,RTO,89101.638,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,AE,AECO,886.089,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,AEP,AEPAPT,4867.345,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,AEP,AEPIMP,3363.428,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,AEP,AEPKPT,784.186,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,AEP,AEPOPT,8087.861,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,AP,AP,5759.654,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,BC,BC,3397.218,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,CE,CE,9919.686,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,DAY,DAY,2036.716,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,DEOK,DEOK,2907.647,FALSE
12/1/2025 9:00,12/1/2025 4:00,SERC,SOUTH,DOM,DOM,15271.987,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,DPL,DPLCO,2051.67,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,DUQ,DUQ,1324.063,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,DPL,EASTON,30.149,TRUE
12/1/2025 9:00,12/1/2025 4:00,SERC,WEST,EKPC,EKPC,2217.376,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,JC,JC,2101.296,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,ME,ME,1656.621,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,ATSI,OE,6736.582,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,OVEC,OVEC,37,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,WEST,ATSI,PAPWR,521.279,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PE,PE,4078.945,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PEP,PEPCO,2567.539,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PL,PLCO,4340.778,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PN,PN,1714.229,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PS,PS,4254.807,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,RECO,RECO,126.138,FALSE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PEP,SMECO,457.277,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,PL,UGI,108.756,TRUE
12/1/2025 9:00,12/1/2025 4:00,RFC,MIDATL,AE,VMEU,71.877,TRUE
12/1/2025 9:00,12/1/2025 4:00,RTO,RTO,RTO,RTO,91678.199,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,MIDATL,AE,AECO,942.727,FALSE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPAPT,5138.138,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPIMP,3519.187,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPKPT,819.208,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AEP,AEPOPT,8367.069,TRUE
12/1/2025 10:00,12/1/2025 5:00,RFC,WEST,AP,AP,6035.961,TRUE
